Gender,n,churners,rate,ci95_low,ci95_high,rate_%
Female,4543,1139,0.2507153863086066,0.23832585465809933,0.2635261561970842,25.07
Male,5457,898,0.16455928165658787,0.1549580855379608,0.17463243032684655,16.46
