NumOfProducts_bin,n,churners,rate,ci95_low,ci95_high,rate_%
"(0.999, 2.0]",9674,1757,0.18162083936324167,0.1740650175170537,0.1894294211602646,18.16
"(2.0, 4.0]",326,280,0.8588957055214724,0.8169136890004209,0.8925177471798549,85.89
