fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.6646438575738828,0.8497967967624666,14.0,,,,
2,0.6873354309034351,0.8602913437135605,9.0,,,,
3,0.7226285224054266,0.8665370231862379,33.0,,,,
4,0.682205963388747,0.8483470456245324,21.0,,,,
5,0.6630342386330959,0.8304434234426754,32.0,,,,
OOF,0.6764175875324011,0.8457315656873843,,0.683,0.6085512660855127,0.5993458708094849,0.7522582399892097
