fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.6683110607397708,0.8447510117291995,20.0,,,,
2,0.674323114522246,0.8525061732629126,18.0,,,,
3,0.7246843109775146,0.8762560102575061,14.0,,,,
4,0.6804439560071684,0.851090928518004,27.0,,,,
5,0.6584222848167691,0.8332770595149055,28.0,,,,
OOF,0.6762967861847816,0.8493353868726734,,0.675,0.607726005575468,0.6238757154538022,0.7569870517817472
