model,thr_val,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration
DL_REDUCED_SMOTENC,0.783,0.6749846130455791,0.852360835411683,0.6437346437346437,0.6437346437346437,0.6437346437346437,0.7763557085590984,0.6978608503930259,0.8587215875351468,0.6228287841191067,0.6197530864197531,0.6167076167076168,0.760645082678981,18
DL_REDUCED_SMOTENC_TUNED,0.5690000000000001,0.6689158693024174,0.851102257881919,0.5481335952848723,0.6091703056768559,0.6855036855036855,0.7705610078491434,0.706037082274057,0.8645070339985594,0.5604838709677419,0.6157253599114064,0.683046683046683,0.7730989849633918,21
