model,thr_val,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration
XGB_REDUCED_SMOTENC,0.452,0.6925914819343173,0.8582388243405193,0.6223776223776224,0.638755980861244,0.6560196560196561,0.7771623703827094,0.706912148010632,0.8604043180314367,0.5857461024498887,0.6144859813084113,0.6461916461916462,0.7647154087832053,1182
XGB_REDUCED_SMOTENC_TUNED,0.481,0.6938172368868212,0.8546620580518886,0.648989898989899,0.6400996264009963,0.6314496314496314,0.772096441587967,0.7089560238607365,0.8597164190384529,0.6009501187648456,0.6111111111111112,0.6216216216216216,0.7580801140123175,1081
XGB_REDUCED_SMOTENC,0.436,0.6935185898120686,0.8557309235275337,0.6513994910941476,0.64,0.628992628992629,0.7714956867499241,0.7090016874810908,0.8620284382996248,0.6215538847117794,0.6153846153846154,0.6093366093366094,0.7572734521887065,1312
XGB_REDUCED_SMOTENC,0.47400000000000003,0.6985261084210692,0.8575385863521459,0.6885245901639344,0.6520051746442432,0.6191646191646192,0.7738007653261891,0.7087137413838522,0.8631620835010666,0.6469002695417789,0.6169665809768637,0.5896805896805897,0.7537229062652792,346
