feature,importance_gain
NumOfProducts_1,85.31671905517578
IsActiveMember_1,28.19426727294922
num__Age,17.067216873168945
Gender_1,16.112524032592773
num__Tenure,14.764152526855469
Geography_1,13.36984920501709
NumOfProducts_2,12.680194854736328
num__Balance,7.7378387451171875
HasCrCard_1,5.199501037597656
NumOfProducts_3,4.506035804748535
num__EstimatedSalary,4.134491443634033
num__CreditScore,3.7923390865325928
