fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.6855198152773104,0.8535521983675148,856.0,,,,
2,0.6770611537341773,0.8570032238150764,995.0,,,,
3,0.7233771422518473,0.8749139865370232,1102.0,,,,
4,0.6946474744276752,0.8539886740036329,1053.0,,,,
5,0.652968998868115,0.8375595683299498,565.0,,,,
OOF,0.6843763829361934,0.8549813933656963,,0.527,0.6119027661357921,0.5968928863450531,0.7531251117929997
