fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.6889191027097842,0.8534578846285754,828.0,,,,
2,0.6795132663510921,0.8623190891007614,678.0,,,,
3,0.7282028736671566,0.878260497916444,886.0,,,,
4,0.7012141741875089,0.8563051608077786,1056.0,,,,
5,0.6481979014657259,0.8372390212629555,486.0,,,,
OOF,0.6869026337106587,0.8571517822435829,,0.458,0.6146230007616146,0.659852820932134,0.7675441621930923
