feature,importance_gain
num__Age,26442.029381766915
NumOfProducts_1,20314.691744094715
num__Tenure,18394.14289491251
num__Balance,7051.33633338986
IsActiveMember_1,5640.920600652695
NumOfProducts_2,3415.5684406757355
Gender_1,3210.5377387702465
Geography_1,3075.869986653328
num__EstimatedSalary,2103.617365042679
num__CreditScore,1679.9596448019147
NumOfProducts_3,886.3594517707825
HasCrCard_1,738.0118560194969
