fold,pr_auc,roc_auc,thr,f1,recall,bal_acc
1,0.6962543762895088,0.8579785136154743,,,,
2,0.692515482280912,0.8604392448041704,,,,
3,0.7333740657810112,0.8797969868575702,,,,
4,0.7026309200662665,0.8660626135270862,,,,
5,0.6629793401097568,0.8402735334971685,,,,
OOF,0.6937147959785777,0.8586365644455726,0.514,0.621455938697318,0.6631234668847097,0.771272849205386
