model,thr_val,thr_oof,thr_used,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration
LGBM_REDUCED_PERMcv_thr_SMOTENC,0.553,0.493,0.493,0.6864575662018498,0.8554185927067284,0.7033639143730887,0.6267029972752044,0.5651105651105651,0.7521095826180573,0.70174697561005,0.859824385248114,0.6082725060827251,0.6112469437652812,0.6142506142506142,0.7565917226934176,85
LGBM_REDUCED_PERMcv_thr_SMOTENC_TUNED,0.342,0.514,0.514,0.6832806122978804,0.8607166488522421,0.6578947368421053,0.6353240152477764,0.6142506142506142,0.7663217917455205,0.7070278193194852,0.8653684501142129,0.8122270742358079,0.5849056603773585,0.457002457002457,0.715004681106376,135
LGBM_REDUCED_PERMcv_thr_SMOTENC,0.494,0.514,0.514,0.6905462114954057,0.8607768014547676,0.6102449888641426,0.6401869158878505,0.6732186732186732,0.7816815274442392,0.7085587663887778,0.8654602213924247,0.6076233183856502,0.6354044548651817,0.6658476658476659,0.7779960237587356,247
LGBM_REDUCED_PERMcv_thr_SMOTENC_TUNED,0.342,0.514,0.514,0.6832806122978804,0.8607166488522421,0.6578947368421053,0.6353240152477764,0.6142506142506142,0.7663217917455205,0.7070278193194852,0.8653684501142129,0.8122270742358079,0.5849056603773585,0.457002457002457,0.715004681106376,135
