feature,importance_gain
num__Age,9764.561665087938
NumOfProducts_1,4217.710694074631
num__Balance,2687.520291507244
NumOfProducts_0,2594.8311932086945
IsActiveMember_1,2341.386150598526
NumOfProducts_2,1225.4443224668503
Geography_1,1052.7841169685125
num__EstimatedSalary,1052.1067152172327
Gender_1,603.9657101780176
Geography_0,185.60204169154167
Geography_2,122.6769243478775
HasCrCard_1,80.1032178401947
NumOfProducts_3,0.0
