feature,importance_gain
num__Age,40939.59078230709
NumOfProducts_1,10257.842699468136
num__Balance,8203.185097888112
IsActiveMember_1,5777.598074436188
NumOfProducts_0,4278.809907823801
Gender_1,3653.5987076461315
NumOfProducts_2,2937.816753551364
Geography_1,2179.2439786940813
num__EstimatedSalary,1651.2864210158587
HasCrCard_1,1322.466888397932
Geography_2,370.48157024383545
NumOfProducts_3,315.89522075653076
Geography_0,234.2170243859291
