feature,importance
num__Age,0.2807600307687835
NumOfProducts_1,0.2106103974047944
num__Balance,0.11448954081248366
num__EstimatedSalary,0.08433698986641287
num__CreditScore,0.08140780993274517
num__Tenure,0.0781160760258973
IsActiveMember_1,0.05748592485951124
Geography_1,0.03745703276697998
Gender_1,0.02733479752121899
NumOfProducts_2,0.01425986676092075
HasCrCard_1,0.012028496841689848
NumOfProducts_3,0.0017130364385623557
