fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.635476574604787,0.8417072501543316,,,,,
2,0.6432735671762102,0.8483306468207695,,,,,
3,0.6818434764634392,0.8625622395555081,,,,,
4,0.6535609091576252,0.8486462228870605,,,,,
5,0.6131688118593341,0.8265412971471312,,,,,
OOF,0.6430091877252438,0.8448391045194583,,0.541,0.5939675174013921,0.6279640228945217,0.7517044313760864
