fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.632496309511656,0.8432762878112354,,,,,
2,0.646290894071189,0.8504955758282461,,,,,
3,0.6779572308816595,0.8612159418741319,,,,,
4,0.6548622457198214,0.8479196495352067,,,,,
5,0.612029509764255,0.8261480927449514,,,,,
OOF,0.6420536839529853,0.8451930764594796,,0.487,0.5911223385059545,0.669664758789861,0.7585292602825169
