model,thr_val,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration,weights
ENS_FULL_SMOTENC_SoftVote,0.406,0.6969080355595126,0.8604289960222163,0.618510158013544,0.6447058823529411,0.6732186732186732,0.783564766615614,0.7007953715150395,0.8590146386756556,0.5835189309576837,0.6121495327102804,0.6437346437346437,0.763173034359475,,"{""xgb_tuned"": 0.5039300057608984, ""lgbm_tuned"": 0.4960699942391017}"
ENS_FULL_SMOTENC_Stack(LogReg),0.191,0.6986490417709257,0.8606295046973013,0.6128318584070797,0.6449359720605355,0.6805896805896806,0.7853670311297429,0.7051962270694097,0.858840350365774,0.5590717299578059,0.601589103291714,0.6511056511056511,0.759953327749938,
ENS_FULL_SMOTENC_SoftVote,0.406,0.6969080355595126,0.8604289960222163,0.618510158013544,0.6447058823529411,0.6732186732186732,0.783564766615614,0.7007953715150395,0.8590146386756556,0.5835189309576837,0.6121495327102804,0.6437346437346437,0.763173034359475,,"{""xgb_tuned"": 0.5039300057608984, ""lgbm_tuned"": 0.4960699942391017}"
ENS_FULL_SMOTENC_Stack(LogReg),0.191,0.6986490417709257,0.8606295046973013,0.6128318584070797,0.6449359720605355,0.6805896805896806,0.7853670311297429,0.7051962270694097,0.858840350365774,0.5590717299578059,0.601589103291714,0.6511056511056511,0.759953327749938,
