model,split,thr_used,pr_auc,roc_auc,precision,f1,recall,bal_acc
ENS_SOFT,val,0.47300000000000003,0.7002532353715107,0.8610922170244204,0.6143497757847534,0.6424384525205158,0.6732186732186732,0.7826231470299267
ENS_SOFT,test,0.47300000000000003,0.7096893186534421,0.860865487984132,0.5907079646017699,0.6216530849825378,0.6560196560196561,0.7699432868924394
ENS_STACK,val,0.635,0.7013794647678899,0.8626083710829474,0.6413301662707839,0.6521739130434783,0.6633906633906634,0.7843004792157335
ENS_STACK,test,0.635,0.7091388201197217,0.8612063527317765,0.5986078886310905,0.6157517899761337,0.6339066339066339,0.7626532541786779
