model,split,pr_auc,roc_auc,precision,f1,recall,bal_acc,thr
ENS_SOFT,val,0.70165181234329,0.8621194383906248,0.631578947368421,0.64,0.6486486486486487,0.7759878522590387,0.44
ENS_SOFT,test,0.7112636900978846,0.8624649302615404,0.5886363636363636,0.6115702479338843,0.6363636363636364,0.7613707698453461,0.44
ENS_STACK,val,0.6995239646241134,0.862221235102591,0.6370192307692307,0.6439854191980559,0.6511056511056511,0.7781579730732273,0.655
ENS_STACK,test,0.7083719137176326,0.8626870321785576,0.5949074074074074,0.6126340882002383,0.6314496314496314,0.7607970065597184,0.655
