fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.6805123796838753,0.8532992660676315,403.0,,,,
2,0.678262428038293,0.8582871767610947,117.0,,,,
3,0.7077480850718797,0.8700074794315631,174.0,,,,
4,0.6914792945325907,0.8577882252377391,734.0,,,,
5,0.6481740296892984,0.8339779891013996,25.0,,,,
OOF,0.6604308792572923,0.841945794708941,,0.542,0.6110638297872341,0.5870809484873263,0.7507311797073433
