fold,pr_auc,roc_auc,best_iteration,thr,f1,recall,bal_acc
1,0.6956059761235296,0.8566131078949173,1123.0,,,,
2,0.6814102248480394,0.8582914637492284,258.0,,,,
3,0.7346334025532668,0.8811582434020728,1107.0,,,,
4,0.707298116698494,0.8632247034939631,1235.0,,,,
5,0.6591445461954264,0.8424660754354099,175.0,,,,
OOF,0.6880229812402028,0.8542808952203689,,0.504,0.6135812449474535,0.6206050695012265,0.758805779464869
