model,thr_val,val_pr_auc,val_roc_auc,val_precision,val_f1,val_recall,val_bal_acc,test_pr_auc,test_roc_auc,test_precision,test_f1,test_recall,test_bal_acc,best_iteration
RF_FULL_SMOTENC,0.451,0.6503261974790306,0.8534960229875485,0.5861344537815126,0.6319365798414496,0.6855036855036855,0.7809188232917046,0.6649779789234602,0.8486853571599333,0.5531914893617021,0.5929304446978335,0.6388206388206388,0.7534969484122026,
RF_FULL_SMOTENC_TUNED,0.538,0.6767628484566041,0.8573720099143828,0.6021978021978022,0.6357308584686775,0.6732186732186732,0.7797982882728646,0.6909404373291539,0.8578871629719088,0.5887640449438202,0.6150234741784038,0.6437346437346437,0.7644285271403916,
RF_FULL_SMOTENC,0.538,0.6767628484566041,0.8573720099143828,0.6021978021978022,0.6357308584686775,0.6732186732186732,0.7797982882728646,0.6649779789234602,0.8486853571599333,0.5531914893617021,0.5929304446978335,0.6388206388206388,0.7534969484122026,
RF_FULL_SMOTENC_TUNED,0.538,0.6767628484566041,0.8573720099143828,0.6021978021978022,0.6357308584686775,0.6732186732186732,0.7797982882728646,0.6909404373291539,0.8578871629719088,0.5887640449438202,0.6150234741784038,0.6437346437346437,0.7644285271403916,
