fold,pr_auc,roc_auc,thr,f1,recall,bal_acc
1,0.6631754411921545,0.8433748885383086,,,,
2,0.6617237451018152,0.8492009054118939,,,,
3,0.7100533655478622,0.8627374719521317,,,,
4,0.6668178559707366,0.8524543220429533,,,,
5,0.6485195733391174,0.8282722513089006,,,,
OOF,0.6672723434576767,0.8467109793434778,0.579,0.604310695404636,0.6075224856909239,0.7521598193579175
